STAGE,DATE,PENS,PENS_HOME_SCORE,PENS_AWAY_SCORE,TEAM_NAME_HOME,TEAM_NAME_AWAY,TEAM_HOME_SCORE,TEAM_AWAY_SCORE,POSSESSION_HOME,POSSESSION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,PREDICTION_TEAM_HOME_WIN,PREDICTION_DRAW,PREDICTION_TEAM_AWAY_WIN,LOCATION
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Viktoria Plze?,Internazionale,0,2,28%,72%,8,19,1,8,39%,61%,40%,5,60%,Doosan Arena
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Bayern Munich,Barcelona,2,0,46%,54%,13,18,4,4,39%,61%,39%,8,61%,Allianz Arena
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Sporting CP,Tottenham Hotspur,2,0,55%,45%,12,12,6,5,45%,55%,43%,9,57%,José Alvalade
 Group stage: Matchday 2 ,13-9-2022,FALSE,FALSE,FALSE,Marseille,Eintracht Frankfurt,0,1,61%,39%,8,14,4,7,38%,62%,36%,7,64%,Vélodrome
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,AC Milan,Dinamo Zagreb,3,1,57%,43%,17,7,7,3,50%,50%,44%,6,56%,San Siro
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,Chelsea,Salzburg,1,1,73%,27%,17,4,4,3,39%,61%,45%,8,55%,Stamford Bridge
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,Shakhtar Donetsk,Celtic,1,1,43%,57%,5,16,2,6,40%,60%,36%,10,64%,Donbass Arena
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,Real Madrid,RB Leipzig,2,0,53%,47%,12,9,3,3,43%,57%,42%,1,58%,Santiago Bernabeu
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,Manchester City,Borussia Dortmund,2,1,66%,34%,12,5,3,2,50%,50%,41%,2,59%,Etihad
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,København,Sevilla,0,0,37%,63%,7,11,2,2,46%,54%,46%,2,54%,Parken Stadium
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,Juventus,Benfica,1,2,43%,57%,11,19,3,7,39%,61%,49%,1,51%,Allianz Stadium
 Group stage: Matchday 2 ,14-9-2022,FALSE,FALSE,FALSE,Maccabi Haifa,Paris Saint-Germain,1,3,43%,57%,13,16,5,6,37%,63%,46%,10,54%,Sammy Ofer
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Ajax,Napoli,1,6,43%,57%,8,26,2,13,37%,63%,48%,8,52%,Amsterdam Arena
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Liverpool,Rangers,2,0,64%,36%,23,6,10,2,39%,61%,49%,6,51%,Anfield
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Club Brugge,Atletico Madrid,2,0,47%,53%,7,20,3,5,45%,55%,46%,3,54%,Jan Breydel
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Porto,Bayer Leverkusen,2,0,41%,59%,12,8,4,6,39%,61%,44%,9,56%,Estádio do Dragão
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Bayern Munich,Viktoria Plze?,5,0,71%,29%,21,10,13,3,40%,60%,40%,2,60%,Allianz Arena
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Internazionale,Barcelona,1,0,28%,72%,5,7,2,2,37%,63%,40%,5,60%,San Siro
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Marseille,Sporting CP,4,1,56%,44%,20,6,7,2,36%,64%,44%,1,56%,Vélodrome
 Group stage: Matchday 3 ,4-10-2022,FALSE,FALSE,FALSE,Eintracht Frankfurt,Tottenham Hotspur,0,0,43%,57%,12,11,2,2,38%,62%,48%,9,52%,Eintracht-Stadion
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,Salzburg,Dinamo Zagreb,1,0,47%,53%,18,10,6,3,49%,51%,40%,7,60%,Red Bull Arena
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,Chelsea,AC Milan,3,0,52%,48%,10,4,6,1,38%,62%,46%,6,54%,Stamford Bridge
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,RB Leipzig,Celtic,3,1,59%,41%,16,12,6,5,39%,61%,49%,2,51%,Red Bull Arena
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,Real Madrid,Shakhtar Donetsk,2,1,60%,40%,36,11,14,3,50%,50%,47%,5,53%,Santiago Bernabeu
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,Sevilla,Borussia Dortmund,1,4,59%,41%,20,19,6,7,41%,59%,48%,9,52%,Ramón Sánchez Pizjuán
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,Manchester City,København,5,0,76%,24%,30,2,16,0,45%,55%,38%,8,62%,Etihad
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,Juventus,Maccabi Haifa,3,1,51%,49%,16,20,7,4,49%,51%,50%,8,50%,Allianz Stadium
 Group stage: Matchday 3 ,5-10-2022,FALSE,FALSE,FALSE,Benfica,Paris Saint-Germain,1,1,35%,65%,8,15,6,7,43%,57%,37%,6,63%,Stadion da Luz
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,AC Milan,Chelsea,0,2,29%,71%,7,15,1,4,45%,55%,46%,6,54%,San Siro
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,Dinamo Zagreb,Salzburg,1,1,57%,43%,14,15,3,3,41%,59%,48%,4,52%,Maksimir
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,Celtic,RB Leipzig,0,2,41%,59%,16,13,2,5,48%,52%,35%,7,65%,Celtic Park
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,Shakhtar Donetsk,Real Madrid,1,1,41%,59%,11,17,2,5,50%,50%,35%,9,65%,Donbass Arena
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,København,Manchester City,0,0,41%,59%,6,14,1,4,36%,64%,35%,4,65%,Parken Stadium
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,Borussia Dortmund,Sevilla,1,1,52%,48%,7,9,3,2,39%,61%,41%,4,59%,Signal Iduna Park
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,Maccabi Haifa,Juventus,2,0,42%,58%,14,10,4,5,49%,51%,42%,6,58%,Sammy Ofer
 Group stage: Matchday 4 ,11-10-2022,FALSE,FALSE,FALSE,Paris Saint-Germain,Benfica,1,1,62%,38%,7,7,3,1,42%,58%,49%,3,51%,Parc des Princes
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Napoli,Ajax,4,2,45%,55%,13,13,5,3,49%,51%,36%,9,64%,San Paolo
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Rangers,Liverpool,1,7,43%,57%,7,20,2,9,48%,52%,40%,4,60%,Ibrox Stadium
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Atletico Madrid,Club Brugge,0,0,66%,34%,21,5,9,1,49%,51%,50%,8,50%,Vicente Calderon
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Bayer Leverkusen,Porto,0,3,65%,35%,17,5,4,3,46%,54%,40%,9,60%,BayArena
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Viktoria Plze?,Bayern Munich,2,4,31%,69%,15,15,6,8,46%,54%,42%,4,58%,Doosan Arena
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Barcelona,Internazionale,3,3,62%,38%,25,11,11,8,38%,62%,37%,5,63%,Nou Camp
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Tottenham Hotspur,Eintracht Frankfurt,3,2,52%,48%,11,11,8,6,48%,52%,41%,1,59%,Tottenham Hotspur Stadium
 Group stage: Matchday 4 ,12-10-2022,FALSE,FALSE,FALSE,Sporting CP,Marseille,0,2,31%,59%,4,16,2,5,47%,53%,47%,9,53%,José Alvalade
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,Salzburg,Chelsea,1,2,29%,71%,16,15,7,11,43%,57%,47%,6,53%,Red Bull Arena
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,Dinamo Zagreb,AC Milan,0,4,56%,44%,11,22,6,10,50%,50%,40%,4,60%,Maksimir
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,Celtic,Shakhtar Donetsk,1,1,55%,45%,15,8,5,3,46%,54%,46%,10,54%,Celtic Park
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,RB Leipzig,Real Madrid,3,2,43%,57%,14,12,6,6,42%,58%,47%,2,53%,Red Bull Arena
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,Sevilla,København,3,0,58%,42%,15,10,11,2,37%,63%,41%,2,59%,Ramón Sánchez Pizjuán
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,Borussia Dortmund,Manchester City,0,0,27%,73%,11,8,4,3,44%,56%,37%,10,63%,Signal Iduna Park
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,Benfica,Juventus,4,3,55%,45%,15,13,6,6,38%,62%,42%,4,58%,Stadion da Luz
 Group stage: Matchday 5 ,25-10-2022,FALSE,FALSE,FALSE,Paris Saint-Germain,Maccabi Haifa,7,2,63%,37%,21,13,9,5,43%,57%,50%,5,50%,Parc des Princes
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Ajax,Liverpool,0,3,49%,51%,11,13,2,5,35%,65%,43%,5,57%,Amsterdam Arena
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Napoli,Rangers,3,0,65%,35%,14,9,6,1,42%,58%,44%,2,56%,San Paolo
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Club Brugge,Porto,0,4,57%,43%,10,18,4,9,47%,53%,38%,8,62%,Jan Breydel
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Atletico Madrid,Bayer Leverkusen,2,2,64%,36%,23,13,10,7,43%,57%,44%,4,56%,Vicente Calderon
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Internazionale,Viktoria Plze?,4,0,64%,36%,22,5,9,1,37%,63%,48%,9,52%,San Siro
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Barcelona,Bayern Munich,0,3,52%,48%,9,14,0,8,38%,62%,39%,4,61%,Nou Camp
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Eintracht Frankfurt,Marseille,2,1,43%,57%,9,11,4,3,40%,60%,36%,1,64%,Eintracht-Stadion
 Group stage: Matchday 5 ,26-10-2022,FALSE,FALSE,FALSE,Tottenham Hotspur,Sporting CP,1,1,59%,41%,18,10,7,4,35%,65%,47%,10,53%,Tottenham Hotspur Stadium
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Rangers,Ajax,1,3,45%,55%,8,13,3,7,39%,61%,40%,10,60%,Ibrox Stadium
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Liverpool,Napoli,2,0,53%,47%,14,10,6,2,41%,59%,39%,7,61%,Anfield
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Porto,Atletico Madrid,2,1,51%,49%,16,11,8,5,41%,59%,44%,1,56%,Estádio do Dragão
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Bayer Leverkusen,Club Brugge,0,0,54%,46%,13,8,4,1,38%,62%,36%,8,64%,BayArena
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Bayern Munich,Internazionale,2,0,60%,40%,23,7,8,4,48%,52%,43%,1,57%,Allianz Arena
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Viktoria Plze?,Barcelona,2,4,23%,77%,22,11,8,7,46%,54%,49%,1,51%,Doosan Arena
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Sporting CP,Eintracht Frankfurt,1,2,45%,55%,5,6,2,4,43%,57%,48%,1,52%,José Alvalade
 Group stage: Matchday 6 ,1-11-2022,FALSE,FALSE,FALSE,Marseille,Tottenham Hotspur,1,2,64%,36%,16,7,4,3,36%,64%,42%,4,58%,Vélodrome
 Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,AC Milan,Salzburg,4,0,48%,52%,15,16,7,6,47%,53%,37%,1,63%,San Siro
 Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,Chelsea,Dinamo Zagreb,2,1,59%,41%,22,7,6,2,45%,55%,39%,5,61%,Stamford Bridge
Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,Real Madrid,Celtic,5,1,65%,35%,25,14,10,8,45%,55%,44%,7,56%,Santiago Bernabeu
Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,Shakhtar Donetsk,RB Leipzig,0,4,48%,52%,5,12,1,7,39%,61%,40%,6,60%,Donbass Arena
Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,København,Borussia Dortmund,1,1,42%,58%,22,13,9,1,37%,63%,46%,2,54%,Parken Stadium
Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,Manchester City,Sevilla,3,1,62%,38%,21,7,7,2,49%,51%,47%,4,53%,Etihad
Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,Juventus,Paris Saint-Germain,1,2,47%,53%,15,7,2,5,47%,53%,40%,6,60%,Allianz Stadium
Group stage: Matchday 6 ,2-11-2022,FALSE,FALSE,FALSE,Maccabi Haifa,Benfica,1,6,42%,58%,10,17,2,10,38%,62%,39%,7,61%,Sammy Ofer
 Round of 16 first leg ,16-02-2023,FALSE,FALSE,FALSE,Dortmund,Chelsea,1,0,51%,49%,14,21,2,8,45%,55%,45%,8,55%,Signal Iduna Park
 Round of 16 first leg ,16-02-2023,FALSE,FALSE,FALSE,Club Brugge,Benfica,0,2,45%,55%,4,14,1,4,45%,55%,39%,4,61%,Jan Breydel
 Round of 16 first leg ,15-02-2023,FALSE,FALSE,FALSE,Paris Saint-Germain,Bayern Munich,0,1,46%,54%,9,18,4,7,37%,63%,45%,8,55%,Parc des Princes
 Round of 16 first leg ,15-02-2023,FALSE,FALSE,FALSE,Milan,Tottenham,1,0,47%,53%,9,11,4,3,38%,62%,49%,2,51%,San Siro
 Round of 16 first leg ,23-02-2023,FALSE,FALSE,FALSE,Inter,FC Porto,1,0,60%,40%,18,10,4,4,44%,56%,40%,3,60%,San Siro
 Round of 16 first leg ,23-02-2023,FALSE,FALSE,FALSE,Leipzig,Manchester City,1,1,38%,62%,7,12,4,3,42%,58%,41%,4,59%,Red Bull Arena
 Round of 16 first leg ,22-02-2023,FALSE,FALSE,FALSE,Eintracht Frankfurt,Napoli,0,2,30%,70%,5,18,1,10,35%,65%,46%,5,54%,Frankfurt Stadion
 Round of 16 first leg ,22-02-2023,FALSE,FALSE,FALSE,Liverpool,"Real Madrid
",2,5,52%,48%,9,9,5,6,45%,55%,46%,,54%,Anfield
 Round of 16 second leg ,09-03-2023,FALSE,FALSE,FALSE,Tottenham,Milan,0,0,54%,46%,9,14,2,3,38%,62%,47%,1,53%,Tottenham Hotspur Stadium
 Round of 16 second leg ,09-03-2023,FALSE,FALSE,FALSE,Bayern Munich,Paris Saint-Germain,2,0,45%,55%,12,10,5,4,36%,64%,41%,7,59%,Allianz Arena
 Round of 16 second leg ,08-03-2023,FALSE,FALSE,FALSE,Chelsea,Dortmund,2,0,39%,61%,13,13,4,4,47%,53%,36%,2,64%,Stamford Bridge
 Round of 16 second leg ,08-03-2023,FALSE,FALSE,FALSE,Benfica,Club Brugge,5,1,60%,40%,20,13,8,2,50%,50%,37%,4,63%,Stadion da Luz
 Round of 16 second leg ,16-03-2023,FALSE,FALSE,FALSE,Napoli,Eintracht Frankfurt,3,0,60%,40%,12,8,8,1,43%,57%,36%,9,64%,Stadio Diego Armando Maradona
 Round of 16 second leg ,16-03-2023,FALSE,FALSE,FALSE,Real Madrid,Liverpool,1,0,54%,46%,17,9,8,5,42%,58%,37%,3,63%,Santiago Bernabeu
 Round of 16 second leg ,15-03-2023,FALSE,FALSE,FALSE,FC Porto,Inter,0,0,68%,32%,21,11,7,5,35%,65%,48%,5,52%,Estádio do Dragão
 Round of 16 second leg ,15-03-2023,FALSE,FALSE,FALSE,Manchester City,Leipzig,7,0,67%,33%,23,4,16,1,39%,61%,37%,6,63%,Etihad
 Quarter-finals first leg ,13-04-2023,FALSE,FALSE,FALSE,Milan,Napoli,1,0,46%,54%,12,16,2,6,48%,52%,46%,2,54%,San Siro
 Quarter-finals first leg ,13-04-2023,FALSE,FALSE,FALSE,Real Madrid,Chelsea,2,0,57%,43%,18,7,10,3,39%,61%,37%,8,63%,Santiago Bernabeu
 Quarter-finals first leg ,12-04-2023,FALSE,FALSE,FALSE,Manchester City,Bayern Munich,3,0,44%,56%,17,12,9,4,50%,50%,40%,6,60%,Etihad
 Quarter-finals first leg ,12-04-2023,FALSE,FALSE,FALSE,Benfica,Inter,0,2,58%,42%,12,9,2,4,40%,60%,39%,7,61%,Stadion da Luz
 Quarter-finals second leg ,20-04-2023,FALSE,FALSE,FALSE,Inter,Benfica,3,3,40%,60%,11,12,3,5,43%,57%,44%,9,56%,San Siro
 Quarter-finals second leg ,20-04-2023,FALSE,FALSE,FALSE,Bayern Munich,Manchester City,1,1,58%,42%,19,7,7,2,36%,64%,44%,1,56%,Allianz Arena
 Quarter-finals second leg ,19-04-2023,FALSE,FALSE,FALSE,Chelsea,Real Madrid,0,2,55%,45%,19,9,6,6,38%,62%,43%,2,57%,Stamford Bridge
 Quarter-finals second leg ,19-04-2023,FALSE,FALSE,FALSE,Napoli,Milan,1,1,74%,26%,23,6,4,4,46%,54%,38%,4,62%,Stadio Diego Armando Maradona
 Semi-finals first leg ,11-05-2023,FALSE,FALSE,FALSE,Milan,Inter,0,2,58%,42%,13,16,2,5,45%,55%,50%,5,50%,San Siro
 Semi-finals first leg ,10-05-2023,FALSE,FALSE,FALSE,Real Madrid,Manchester City,1,1,44%,56%,13,10,4,6,50%,50%,41%,8,59%,Santiago Bernabeu
 Semi-finals second leg ,18-05-2023,FALSE,FALSE,FALSE,Manchester City,Real Madrid,4,0,60%,40%,16,7,8,3,41%,59%,46%,6,54%,Etihad
 Semi-finals second leg ,17-05-2023,FALSE,FALSE,FALSE,Inter,Milan,1,0,43%,57%,15,5,4,1,45%,55%,44%,5,56%,San Siro
 Final ,11-06-2023,FALSE,FALSE,FALSE,Manchester City,Inter,1,0,57%,43%,4,6,2,1,36%,64%,46%,8,54%,Atatürk Olympic Stadium=
